time	count
63216.00	0.00
63457.00	1.00
63530.00	0.00
63563.00	1.00
63602.00	0.00
63631.00	1.00
63667.00	0.00
63708.00	1.00
63716.00	0.00
63739.00	1.00
63775.00	0.00
63808.00	1.00
63813.00	0.00
63840.00	1.00
63898.00	0.00
63940.00	1.00
63946.00	0.00
63978.00	1.00
63983.00	0.00
64016.00	1.00
64021.00	0.00
64053.00	1.00
64058.00	0.00
64088.00	1.00
64094.00	0.00
64124.00	1.00
64130.00	0.00
64163.00	1.00
64169.00	0.00
64199.00	1.00
64204.00	0.00
64237.00	1.00
64243.00	0.00
64273.00	1.00
64277.00	0.00
64312.00	1.00
64369.00	0.00
64426.00	1.00
64432.00	0.00
64581.00	1.00
64586.00	0.00
65544.00	1.00
65551.00	0.00
65575.00	1.00
65652.00	0.00
65690.00	1.00
65749.00	0.00
65803.00	1.00
65845.00	0.00
65886.00	1.00
65972.00	0.00
66002.00	1.00
66043.00	0.00
66129.00	1.00
66136.00	0.00
66194.00	1.00
66200.00	0.00
66226.00	1.00
66231.00	0.00
66257.00	1.00
66262.00	0.00
66287.00	1.00
66291.00	0.00
66316.00	1.00
66323.00	0.00
66465.00	1.00
66470.00	0.00
66496.00	1.00
66501.00	0.00
66528.00	1.00
66784.00	0.00
66821.00	1.00
66828.00	0.00
66860.00	1.00
66866.00	0.00
66894.00	1.00
66899.00	0.00
66929.00	1.00
66935.00	0.00
66964.00	1.00
66971.00	0.00
67009.00	1.00
67015.00	0.00
67046.00	1.00
67053.00	0.00
67085.00	1.00
67090.00	0.00
67121.00	1.00
67128.00	0.00
67156.00	1.00
67161.00	0.00
67193.00	1.00
67199.00	0.00
67231.00	1.00
67238.00	0.00
67270.00	1.00
67276.00	0.00
67303.00	1.00
67309.00	0.00
67341.00	1.00
67346.00	0.00
67373.00	1.00
67380.00	0.00
67414.00	1.00
67419.00	0.00
67452.00	1.00
67459.00	0.00
67497.00	1.00
67504.00	0.00
67538.00	1.00
67544.00	0.00
67572.00	1.00
67577.00	0.00
67602.00	1.00
67607.00	0.00
67633.00	1.00
67637.00	0.00
67663.00	1.00
67668.00	0.00
67694.00	1.00
67699.00	0.00
67733.00	1.00
67739.00	0.00
67768.00	1.00
67773.00	0.00
67800.00	1.00
67807.00	0.00
67870.00	1.00
67877.00	0.00
67992.00	1.00
67996.00	0.00
68234.00	1.00
68305.00	0.00
68340.00	1.00
68384.00	0.00
68418.00	1.00
68424.00	0.00
68452.00	1.00
68494.00	0.00
68534.00	1.00
68570.00	0.00
68611.00	1.00
68617.00	0.00
68675.00	1.00
